Time,Signal,BPM,Emotion,,,,,,,,
10:23:51,499,68,26.66666667,,10:30:13,502,66,30,,,
10:23:52,565,68,23.33333333,,10:30:14,500,65,30,,,
10:23:53,504,67,26.66666667,,10:30:15,498,64,26.66666667,,,
10:23:54,513,67,26.66666667,,10:30:16,497,63,26.66666667,,,
10:23:55,495,67,26.66666667,,10:30:17,496,63,26.66666667,,,
10:23:56,496,66,23.33333333,,10:30:18,496,63,26.66666667,,,
10:23:57,500,66,23.33333333,,10:30:19,499,62,23.33333333,,,
10:23:58,498,67,23.33333333,,10:30:20,518,62,23.33333333,,,
10:23:59,504,67,20,,10:30:21,522,62,23.33333333,,,
10:24:00,542,67,16.66666667,,10:30:22,573,62,26.66666667,,,
10:24:01,522,67,20,,10:30:23,542,62,26.66666667,,,
10:24:02,504,67,23.33333333,,10:30:24,483,62,26.66666667,,,
10:24:03,493,68,23.33333333,,10:30:26,505,63,26.66666667,,,
10:24:04,516,69,26.66666667,,10:30:27,509,63,23.33333333,,,
10:24:05,514,70,26.66666667,,10:30:28,496,63,20,,,
10:24:06,508,70,26.66666667,,10:30:29,499,63,20,,,
10:24:07,504,70,26.66666667,,10:30:30,485,63,23.33333333,,,
10:24:08,504,70,26.66666667,,10:30:31,501,64,26.66666667,,,
10:24:09,499,69,30,,10:30:32,503,65,30,,,
10:24:10,498,69,33.33333333,,10:30:33,483,67,26.66666667,,,
10:24:11,501,68,33.33333333,,10:30:34,493,69,30,,,
10:24:12,503,67,33.33333333,,10:30:35,508,70,26.66666667,,,
10:24:13,506,67,30,,10:30:36,563,71,26.66666667,,,
10:24:14,519,66,30,,10:30:37,524,72,26.66666667,,,
10:24:15,513,66,30,,10:30:38,495,72,23.33333333,,,
10:24:16,500,67,26.66666667,,10:30:39,491,71,23.33333333,,,
10:24:17,502,68,26.66666667,,10:30:40,507,70,20,,,
10:24:18,501,68,30,,10:30:41,516,69,20,,,
10:24:19,520,70,30,,10:30:42,514,67,20,,,
10:24:20,526,70,26.66666667,,10:30:43,496,66,20,,,
10:24:21,502,69,26.66666667,,10:30:44,494,64,20,,,
10:24:22,510,69,26.66666667,,10:30:45,498,63,20,,,
10:24:23,502,69,23.33333333,,10:30:46,503,63,20,,,
10:24:24,516,70,26.66666667,,10:30:47,504,63,20,,,
10:24:25,508,70,26.66666667,,10:30:48,503,63,20,,,
10:24:26,508,70,26.66666667,,10:30:49,498,63,20,,,
10:24:27,509,70,26.66666667,,10:30:50,498,62,20,,,
10:24:29,502,70,26.66666667,,10:30:51,497,62,20,,,
10:24:30,504,70,26.66666667,,10:30:52,497,62,20,,,
10:24:31,503,71,26.66666667,,10:30:53,548,63,16.66666667,,,
10:24:32,521,71,26.66666667,,10:30:54,577,63,20,,,
10:24:33,513,70,23.33333333,,10:30:55,534,63,23.33333333,,,
10:24:34,501,70,23.33333333,,10:30:56,508,63,23.33333333,,,
10:24:35,501,70,20,,10:30:57,487,63,23.33333333,,,
10:24:36,500,70,20,,10:30:58,518,63,23.33333333,,,
10:24:37,509,70,20,,10:30:59,499,65,26.66666667,,,
10:24:38,530,69,23.33333333,,10:31:00,526,66,26.66666667,,,
10:24:39,509,69,26.66666667,,10:31:01,533,68,23.33333333,,,
10:24:40,505,68,26.66666667,,10:31:02,494,68,23.33333333,,,
10:24:41,515,68,23.33333333,,10:31:03,505,68,23.33333333,,,
10:24:42,503,67,23.33333333,,10:31:04,510,68,20,,,
10:24:43,501,67,26.66666667,,10:31:05,502,68,20,,,
10:24:44,502,67,26.66666667,,10:31:06,500,68,20,,,
10:24:45,544,68,26.66666667,,10:31:07,505,67,16.66666667,,,
10:24:46,511,69,30,,10:31:08,509,65,16.66666667,,,
10:24:47,493,70,30,,10:31:09,517,63,16.66666667,,,
10:24:48,496,70,30,,10:31:10,518,62,16.66666667,,,
10:24:49,502,71,26.66666667,,10:31:11,506,60,16.66666667,,,
10:24:50,521,72,26.66666667,,10:31:12,490,60,16.66666667,,,
10:24:51,510,72,26.66666667,,10:31:13,488,59,16.66666667,,,
10:24:52,493,73,26.66666667,,10:31:14,487,58,16.66666667,,,
10:24:53,522,75,26.66666667,,10:31:15,487,58,16.66666667,,,
10:24:54,495,76,30,,10:31:16,497,58,16.66666667,,,
,,,,,10:31:17,509,59,20,,,
,,,,,10:31:18,509,59,20,,,
,,,,,10:31:19,488,59,23.33333333,,,
,,,,,10:31:20,496,59,23.33333333,,,
,,,,,10:31:21,518,60,26.66666667,,,
,,,,,10:31:22,484,61,26.66666667,,,
,,,,,10:31:23,496,63,30,,,
,,,,,10:31:24,537,65,30,,,
,,,,,10:31:25,539,65,30,,,
,,,,,10:31:26,512,65,30,,,
,,,,,10:31:27,502,66,30,,,
,,,,,10:31:28,495,66,30,,,
,,,,,10:31:29,508,66,26.66666667,,,
,,,,,10:31:30,510,66,26.66666667,,,
,,,,,10:31:31,494,66,26.66666667,,,
,,,,,10:31:32,503,66,23.33333333,,,
,,,,,10:31:33,499,65,26.66666667,,,
,,,,,10:31:34,498,65,26.66666667,,,
,,,,,10:31:35,499,64,30,,,
